filename,shape_type,target,center_x,center_y,size,color,quadrant,row,column,num_distractors,num_images,distractor_color,color_bin_index,rotation_angle,bin_group,condition,image_condition
image_0.png,2,True,200.4952003563232,95.373659020255,20,#FF0000,Quadrant 1,1,1,72,151.0,#FF0000,0.0,9.003871880160098,6,2Among5Colour,image_0.png_2Among5Colour
image_1.png,2,True,470.5171199278891,144.69052388432573,20,#FF0000,Quadrant 2,1,2,12,151.0,#FF0000,0.0,245.54400779180753,3,2Among5Colour,image_1.png_2Among5Colour
image_2.png,2,True,310.41442965103994,286.3900329267222,20,#FF0000,Quadrant 3,2,1,9,151.0,#FF0000,0.0,39.024916997296,3,2Among5Colour,image_2.png_2Among5Colour
image_3.png,2,True,218.35446357567452,218.12026656529392,20,#FF0000,Quadrant 3,2,1,22,151.0,#FF0000,0.0,221.585369742497,4,2Among5Colour,image_3.png_2Among5Colour
image_4.png,2,True,170.33915953272069,273.31302904904175,20,#FF0000,Quadrant 3,2,1,10,151.0,#FF0000,0.0,49.81466214581606,3,2Among5Colour,image_4.png_2Among5Colour
image_5.png,2,True,104.49694670185876,185.52201185147143,20,#FF0000,Quadrant 1,1,1,1,151.0,#FF0000,0.0,231.38987328336088,1,2Among5Colour,image_5.png_2Among5Colour
image_6.png,2,True,272.2179625236899,295.2597133037087,20,#FF0000,Quadrant 3,2,1,14,151.0,#FF0000,0.0,274.04269484184977,3,2Among5Colour,image_6.png_2Among5Colour
image_7.png,2,True,306.15245111873895,151.07579121042522,20,#FF0000,Quadrant 1,1,1,35,151.0,#FF0000,0.0,124.99335551104164,5,2Among5Colour,image_7.png_2Among5Colour
image_8.png,2,True,119.21233733942437,76.70152126739224,20,#FF0000,Quadrant 1,1,1,7,151.0,#FF0000,0.0,237.7541293891332,2,2Among5Colour,image_8.png_2Among5Colour
image_9.png,2,True,578.9015676094864,359.2107759497672,20,#FF0000,Quadrant 4,2,2,7,151.0,#FF0000,0.0,214.2158534349857,2,2Among5Colour,image_9.png_2Among5Colour
image_10.png,2,True,315.69605964551977,116.1431843832351,20,#FF0000,Quadrant 1,1,1,8,151.0,#FF0000,0.0,186.8269827555374,2,2Among5Colour,image_10.png_2Among5Colour
