filename,num_distractors,size,colourbin,selected_cell,actual_cell,correct,selected_response
image_0.png,91,20,0.0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_1.png,5,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_2.png,15,20,0.0,"(1, 1)","(1, 2)",False,"Cell (1,1)."
image_3.png,44,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_4.png,34,20,0.0,"(1, 1)","(1, 2)",False,"Cell (1,1)."
image_5.png,61,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_6.png,29,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_7.png,81,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_8.png,63,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_9.png,15,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_10.png,52,20,0.0,"(2, 1)","(1, 2)",False,"Cell (2,1)."
image_11.png,73,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_12.png,15,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_13.png,51,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_14.png,76,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_15.png,40,20,0.0,"(1, 1)","(2, 2)",False,"Cell (1,1)."
image_16.png,90,20,0.0,"(1, 1)","(2, 2)",False,"Cell (1,1)."
image_17.png,73,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_18.png,42,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_19.png,26,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_20.png,85,20,0.0,"(1, 1)","(2, 2)",False,"Cell (1,1)."
image_21.png,12,20,0.0,"(1, 2)","(1, 1)",False,"Cell (1,2)."
image_22.png,40,20,0.0,"(1, 1)","(2, 2)",False,"Cell (1,1)."
image_23.png,69,20,0.0,"(1, 1)","(1, 2)",False,"Cell (1,1)."
image_24.png,88,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_25.png,91,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_26.png,90,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_27.png,25,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_28.png,44,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_29.png,58,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_30.png,56,20,0.0,"(2, 1)","(1, 2)",False,"Cell (2,1)."
image_31.png,37,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_32.png,6,20,0.0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_33.png,85,20,0.0,"(1, 1)","(2, 2)",False,"Cell (1,1)."
image_34.png,98,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_35.png,38,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_36.png,96,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_37.png,82,20,0.0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_38.png,75,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_39.png,52,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_40.png,79,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_41.png,62,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_42.png,3,20,0.0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_43.png,20,20,0.0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_44.png,6,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_45.png,91,20,0.0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_46.png,66,20,0.0,"(1, 1)","(1, 2)",False,"Cell (1,1)."
image_47.png,3,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_48.png,71,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_49.png,84,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_50.png,90,20,0.0,"(1, 2)","(2, 2)",False,"Cell (1,2)."
image_51.png,53,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_52.png,90,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_53.png,53,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_54.png,57,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_55.png,30,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_56.png,53,20,0.0,"(1, 1)","(2, 2)",False,"Cell (1,1)."
image_57.png,25,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_58.png,87,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_59.png,80,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_60.png,2,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)"
image_61.png,38,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_62.png,89,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_63.png,78,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_64.png,52,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_65.png,52,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_66.png,88,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_67.png,36,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_68.png,44,20,0.0,"(2, 1)","(1, 2)",False,"Cell (2,1)."
image_69.png,98,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_70.png,56,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_71.png,32,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_72.png,77,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_73.png,53,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_74.png,10,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_75.png,26,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_76.png,56,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_77.png,93,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_78.png,5,20,0.0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_79.png,86,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_80.png,36,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_81.png,94,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_82.png,73,20,0.0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_83.png,17,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_84.png,80,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_85.png,36,20,0.0,"(1, 1)","(1, 2)",False,"Cell (1,1)."
image_86.png,92,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_87.png,58,20,0.0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_88.png,59,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_89.png,87,20,0.0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_90.png,72,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_91.png,69,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_92.png,93,20,0.0,"(1, 2)","(2, 2)",False,"Cell (1,2)."
image_93.png,14,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_94.png,16,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_95.png,17,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_96.png,57,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_97.png,16,20,0.0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_98.png,34,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_99.png,2,20,0.0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_100.png,98,20,0.0,"(1, 1)","(1, 2)",False,"Cell (1,1)."
image_101.png,73,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_102.png,39,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_103.png,20,20,0.0,"(1, 2)","(1, 1)",False,"Cell (1,2)."
image_104.png,83,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_105.png,84,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_106.png,50,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_107.png,46,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_108.png,68,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_109.png,19,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_110.png,68,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_111.png,29,20,0.0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_112.png,32,20,0.0,"(1, 1)","(2, 2)",False,"Cell (1,1)."
image_113.png,37,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_114.png,66,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_115.png,20,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_116.png,29,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_117.png,63,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_118.png,84,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_119.png,67,20,0.0,"(1, 1)","(1, 2)",False,"Cell (1,1)."
image_120.png,16,20,0.0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_121.png,74,20,0.0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_122.png,8,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_123.png,85,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_124.png,46,20,0.0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_125.png,11,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_126.png,10,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_127.png,27,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_128.png,47,20,0.0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_129.png,47,20,0.0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_130.png,67,20,0.0,"(1, 2)","(1, 1)",False,"Cell (1,2)."
image_131.png,54,20,0.0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_132.png,76,20,0.0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_133.png,2,20,0.0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
