filename,shape_type,target,center_x,center_y,size,color,quadrant,row,column,num_distractors,num_images,distractor_color,color_bin_index,rotation_angle,bin_group
image_0.png,2,True,200.49520035632318,95.373659020255,20,#FF0000,Quadrant 1,1,1,72,151,#FF0000,0,9.003871880160098,6
image_0.png,5,False,477.2459468343859,348.24387659243155,20,#0000FF,Quadrant 4,2,2,72,,#0000FF,0,265.1296370990445,6
image_0.png,5,False,301.70413376315133,22.26334894759059,20,#0000FF,Quadrant 1,1,1,72,,#0000FF,0,31.297979746589814,6
image_0.png,5,False,359.18979350321666,21.03059654050045,20,#0000FF,Quadrant 2,1,2,72,,#0000FF,0,78.7096709292972,6
image_0.png,5,False,458.7703776300915,216.9878796680159,20,#0000FF,Quadrant 4,2,2,72,,#0000FF,0,71.58155424719345,6
image_0.png,5,False,417.0040561905011,316.96471262421846,20,#0000FF,Quadrant 4,2,2,72,,#0000FF,0,79.35862393465081,6
image_0.png,5,False,566.2094645128046,274.8966913055498,20,#0000FF,Quadrant 4,2,2,72,,#0000FF,0,2.339553484101966,6
image_0.png,5,False,118.12537537031749,372.8265412941633,20,#0000FF,Quadrant 3,2,1,72,,#0000FF,0,122.49018594647707,6
image_0.png,5,False,74.90188608892191,47.558790443049396,20,#0000FF,Quadrant 1,1,1,72,,#0000FF,0,121.17403624054563,6
image_0.png,5,False,380.4611550122888,378.8377587842021,20,#0000FF,Quadrant 4,2,2,72,,#0000FF,0,262.70344320977443,6
image_0.png,5,False,391.3559949472534,324.51496308763205,20,#0000FF,Quadrant 4,2,2,72,,#0000FF,0,136.27237579500726,6
image_0.png,5,False,604.7160543141255,229.23911090705604,20,#0000FF,Quadrant 4,2,2,72,,#0000FF,0,222.66711085112857,6
image_0.png,5,False,42.57300033875127,97.14554819628471,20,#0000FF,Quadrant 1,1,1,72,,#0000FF,0,253.64586103737244,6
image_0.png,5,False,65.97667210037935,98.9949550444694,20,#0000FF,Quadrant 1,1,1,72,,#0000FF,0,104.17966689675858,6
image_0.png,5,False,202.52381254285348,251.28871993194326,20,#0000FF,Quadrant 3,2,1,72,,#0000FF,0,36.36051458750248,6
image_0.png,5,False,266.0546863435321,90.19365763162234,20,#0000FF,Quadrant 1,1,1,72,,#0000FF,0,131.3395844292303,6
image_0.png,5,False,656.3550109339084,255.95737562321236,20,#0000FF,Quadrant 4,2,2,72,,#0000FF,0,96.11201593768081,6
image_0.png,5,False,128.9145286084888,286.609929625232,20,#0000FF,Quadrant 3,2,1,72,,#0000FF,0,219.28716204011576,6
image_0.png,5,False,272.4447993710193,385.039826540633,20,#0000FF,Quadrant 3,2,1,72,,#0000FF,0,58.82489775429422,6
