condition,bin,generative_success,n_success,n_total,std_success,ci_lower,ci_upper
2Among5Colour,1,0.8333333333333334,5,6,0.408248290463863,0.535128829802743,1.1315378368639237
2Among5Colour,2,0.6666666666666666,4,6,0.5163977794943222,0.28946449079611114,1.043868842537222
2Among5Colour,3,0.3333333333333333,2,6,0.5163977794943223,-0.043868842537222175,0.7105355092038887
2Among5Colour,4,0.3333333333333333,2,6,0.5163977794943223,-0.043868842537222175,0.7105355092038887
2Among5Colour,5,0.16666666666666666,1,6,0.408248290463863,-0.1315378368639238,0.4648711701972571
2Among5Colour,6,0.5,3,6,0.5477225575051661,0.09991667534541426,0.9000833246545857
2Among5ConjRed,1,0.8333333333333334,5,6,0.408248290463863,0.535128829802743,1.1315378368639237
2Among5ConjRed,2,0.0,0,6,0.0,0.0,0.0
2Among5ConjRed,3,0.16666666666666666,1,6,0.408248290463863,-0.1315378368639238,0.4648711701972571
2Among5ConjRed,4,0.0,0,6,0.0,0.0,0.0
2Among5ConjRed,5,0.0,0,6,0.0,0.0,0.0
2Among5ConjRed,6,0.0,0,6,0.0,0.0,0.0
2Among5NoColour,1,0.6666666666666666,4,6,0.5163977794943222,0.28946449079611114,1.043868842537222
2Among5NoColour,2,0.0,0,6,0.0,0.0,0.0
2Among5NoColour,3,0.16666666666666666,1,6,0.408248290463863,-0.1315378368639238,0.4648711701972571
2Among5NoColour,4,0.0,0,6,0.0,0.0,0.0
2Among5NoColour,5,0.0,0,6,0.0,0.0,0.0
2Among5NoColour,6,0.0,0,6,0.0,0.0,0.0
NoDistractors,0,1.0,6,6,0.0,1.0,1.0
